mana man kagam	мой друг мне писал
di mande punorzitte axota	он говорит хочется пукнуть
iʔ punoraʔ a to bar nuʔmeluʔleʔje	не пукай а то они все убегут
di vso_taki punorbi i bar  ularzangde i tuzojʔje uʔmeluʔpiʔi	он все-таки пукнул и все лошади овцы и коровы убежали
di davaj sutsi 	она стала молоком…
sutsi kamnaste dizengde	молоко на них лить
ular shiʔ poʔto molaʔ	овцы вы станьте козами
tuzojeʔi shiʔ pulan mogaʔ	коровы вы станьте лосями
a shiʔ ineʔi 	а вы лошади…
nomelluʔpiem	я забыла
ineʔi mambi pushaj izubraʔi moluʔjeʔ	лошади говорит пусть станут оленями
digette nuke i buze baʔluʔbi imbide bazoʔ naga dizengde	тогда женщина и мужчина ушли у них опять ничего нет
bar kalla durbiʔi	они ушли
amnobi buze din nagur koʔbdot ibi	жил человек у него были три дочери
dim kashtebiʔi kazan turane shtobi shobi	его вызвали в русскую деревню
a urgo koʔbdot man kalam	старшая дочь  я пойду
eʔbdebe baʔpi	она отрезала свои волосы
piʔme sherbi	надела штаны
kujnek sherbi	надела рубаху
uzu sherbi kambi	надела шапку пошла
a abat urgabazi abi	а ее отец сделался медведем
i diʔne shonega	и идет к ней
di bar nereʔluʔpi i maʔnde nuʔmeluʔpi	она испугалась и побежала домой
di shobi imbi ej kambiam	он пришел почему ты не пошла
din urgaba man nereʔluʔpiem maʔnde shobiam	там медведь я испугалась и пришла домой
digette bashka koʔbdo man kalam	потом другая дочь  я пойду
no kanaʔ	ну иди
sherbi piʔmeʔi kujnek sherbi	она надела штаны надела рубаху
eʔbdebe baʔpi	отрезала себе волосы
uzube sherbi kambi	надела шапку и пошла
digette abat molambi urgabazi kambi	тогда отец превратился в медведя пошел
di bar nereʔluʔpi maʔnde shobi	она испугалась вернулась домой
imbi shobial	почему ты пришла
da din shonega man nereʔluʔpiem maʔnde nuʔmeluʔpiem	да там был медведь я испугалась побежала домой
kabarlej	хватит
digette uduge koʔbdo man kalam	потом младшая дочь  я пойду
no kanaʔ	ну иди
toze dare ze eʔbdebe batluʔpi	тоже так же отрезала волосы
piʔmeʔi sherbi	надела штаны
kujnek sherbi	надела рубаху
i uzu sherbi kambi	надела шапку и пошла
kandega kandega	идет-идет
urgaba shonega	медведь идет
di strelazi bar dim simat bar 	она его стрелой в глаз…
di strelazi simande toʔnarbi i simat nagoluʔpi	она ему стрелой в глаз попала глаза нет
digette kambi kambi	потом она идет-идет
shonega nuke amnolaʔbe i nuken nit amnolaʔbe	идет живут женщина и ее сын
di shiʔ aparat 	этот твой аппарат…
tararluʔpi bar	он устал
shamzitte	начал врать 
ugande iri molambi	очень ленивый стал
tan ugande kuza tanan mallial mallial	ты очень человек я тебе говорю говорю
a tan imbide ej timniel	а ты ничего не знаешь
man tanan malliam uduge ibiem	я тебе говорю я была маленькая
girgitde il shobiʔi	какие-то люди пришли
to li ekspeditsija ej timniem	то ли экспедиция не знаю
uduge ibiem ej surarbiam	я маленькая была не спрашивала
mana ej norbebiʔi	мне не говорили
iwan andrejewich	у власа иван андреевич
digette dizen ibi binokl i imbi toze ej timniem	у них был бинокль и ещё это не знаю что
mana perbiʔi nimi	они мне показали иголку
muʔluʔpiʔi stenane	в стену воткнули
kunggeng dare	так далеко
sazende shide beʔ	саженей двадцать
digette man manderbiam ugande nimi urgo	потом я посмотрела  очень большая
a digette parluʔpiʔi drugoj kanessiʔ	а потом перевернули другим концом
mandebiom ugande kunggeng molambi	я посмотрела очень далеко стало
digette sazen embiʔi	потом положили бумагу
i nuldebiʔi di binokl kujane	и наставили этот бинокль на солнце
i sazen neniluʔpi	и бумага загорелась
shiʔ kamen kallelaʔ	вы когда пойдёте
kallebaʔ	мы пойдём 
no kanggaʔ	ну идите
privet norbegeʔ matvejende	привет передайте матвееву
i jela teinen kalla durbi malinovkane	эля сегодня пошла в малиновку
sazen kundubi	бумагу понесла
predsedatelde nada pechatʔi enzitte	у председателя надо печати поставить
di kambi diber mashinaʔiziʔ	она на машине поехала
a diʔe parlej uding	а оттуда пешком вернётся
man sestrane nit kalla durbi tuzojʔi deʔsitte	у моей сестры сын пошёл коровам принести
boste nit ibi	своего сына взял
buzu parluʔje maʔnde	скоро они домой вернулись
oniʔ kuza tenoluʔpi maʔ azitte	один человек хотел построить дом
zolataʔiziʔ	из золота
a bashka kuza maʔ azitte serebrogeʔ	а другой человек сделать дом из серебра
a nagur kuza bar mande man paʔizi jaʔlem tura	а третий человек говорит из дерева срублю дом
a teʔte kuza man alam noʔe salomaʔizi	а четвёртый человек я сделаю из травы из соломы
sholej bar togonorde	он принялся за работу
nendlej shindin togonorde ej 	дом того который работал не сгорит
di diʔne jakshe molej	ему хорошо будет
a shindin togonorde nendluʔlej	а того который работает сгорит
diʔne ej jakshe molej	ему плохо будет
boste ej nendlil	сам он не сгорит
nuʔmeluʔlej	он убежит
a imbi togonerli nendluʔpi	но то что он сделал сгорит
nagur shoshkaʔi amnobiʔi	жили три свиньи
digette shide shoshka ugande iri ibiʔi	две свиньи были очень ленивые
a oniʔ shoshka uge togonerbi	а одна свинья всегда работала
dizen bar jaʔtarlaʔ mimbiʔi ara biʔpiʔi	они всё ходили в гости пили водку
a do oniʔ shoshka bar tilbi du	а та одна свинья всё пахала землю
piʔi oʔbdobiʔi	они собирали камни
i maʔ boskende abi pizengde	и построил себе дом из камней
dizeng shobiʔi oniʔ embi	они пришли один сделал 
